num_atoms;exec_time
5;0.203269
10;0.760161
15;1.92676
20;2.92856
25;4.90343
30;7.99908
35;10.6865
40;12.8491
45;15.3119
50;19.1009
55;22.1981
60;26.6438
65;31.7608
70;34.8162
75;40.9739
80;44.8433
85;51.9074
90;57.4759
95;63.7184
100;70.078
105;76.8808
110;83.5336
115;90.8992
120;98.0393
125;106.345
130;115.764
135;123.576
140;135.538
145;142.842
150;162.717
