Epot;Ekin;Etot
-234.24;106.523;-127.717
-172.938;45.4795;-127.458
-173.668;46.1695;-127.498
-173.603;46.0987;-127.504
-174.227;46.7912;-127.435
-172.058;44.5896;-127.469
-169.147;41.6731;-127.474
-176.247;48.7339;-127.513
-180.124;52.6204;-127.504
-164.74;37.2692;-127.47
-170.585;43.1179;-127.467
-172.725;45.2646;-127.46
-169.407;41.9101;-127.497
-175.373;47.8578;-127.516
-173.742;46.2642;-127.478
-165.473;38.0094;-127.464
-168.239;40.7508;-127.488
-175.568;48.0542;-127.514
-165.719;38.2384;-127.48
-166.703;39.2544;-127.448
-172.093;44.5803;-127.513
-169.389;41.9079;-127.481
-176.88;49.4044;-127.476
-174.919;47.3884;-127.53
-163.166;35.6962;-127.47
-174.012;46.5764;-127.436
-160.395;32.9345;-127.46
-165.125;37.6951;-127.43
-171.387;43.9062;-127.48
-176.116;48.6169;-127.499
-166.941;39.486;-127.455
-171.893;44.4288;-127.464
-161.401;34.0028;-127.398
-166.801;39.3241;-127.477
-166.952;39.4974;-127.455
-169.49;42.0166;-127.474
-168.192;40.7408;-127.451
-159.618;32.16;-127.458
-171.442;43.9469;-127.495
-167.209;39.7492;-127.46
-162.543;35.0675;-127.476
-173.046;45.5927;-127.453
-172.111;44.5971;-127.514
-185.297;57.789;-127.508
-168.012;40.5434;-127.468
-163.721;36.2292;-127.492
-176.339;48.8477;-127.492
-176.091;48.5764;-127.514
-171.885;44.4397;-127.445
-171.164;43.6758;-127.488
-164.355;36.9382;-127.417
-174.821;47.3353;-127.486
-169.762;42.2754;-127.487
-164.557;37.1042;-127.453
-169.577;42.1436;-127.433
-168.243;40.7599;-127.483
-171.912;44.452;-127.46
-164.099;36.624;-127.475
-163.719;36.2475;-127.472
-178.089;50.5689;-127.521
-168.048;40.5969;-127.451
-172.153;44.6692;-127.484
-170.842;43.3237;-127.518
-172.906;45.3886;-127.518
-165.498;38.0275;-127.471
-167.967;40.5063;-127.46
-170.773;43.2742;-127.499
-167.573;40.0998;-127.474
-171.349;43.8177;-127.532
-163.143;35.6601;-127.483
-161.724;34.2498;-127.474
-168.424;40.9321;-127.492
-166.827;39.3578;-127.469
-161.917;34.4422;-127.475
-168.291;40.8001;-127.491
-168.812;41.3255;-127.487
-173.082;45.6588;-127.423
-166.06;38.5683;-127.492
-164.712;37.2378;-127.474
-168.856;41.3919;-127.465
-168.458;40.9627;-127.496
-167.318;39.8528;-127.465
-165.237;37.7722;-127.464
-164.031;36.5293;-127.502
-168.333;40.883;-127.45
-168.81;41.3039;-127.506
-172.174;44.6792;-127.495
-164.032;36.5631;-127.469
-165.327;37.8442;-127.482
-170.702;43.2114;-127.49
-168.475;40.9794;-127.496
-160.695;33.228;-127.467
-168.946;41.4646;-127.481
-166.018;38.5424;-127.476
-171.172;43.6603;-127.512
-164.852;37.4226;-127.429
-169.323;41.802;-127.521
-172.785;45.3177;-127.467
-168.785;41.3465;-127.439
-165.114;37.6274;-127.487
