Epot;Ekin;Etot
-178.064;87.3042;-90.76
-19.9005;1.42173e+08;1.42173e+08
-17.0939;1.42173e+08;1.42173e+08
-13.6694;1.42173e+08;1.42173e+08
-11.5144;1.42173e+08;1.42173e+08
-14.5073;1.42173e+08;1.42173e+08
-13.8118;1.42173e+08;1.42173e+08
-12.6957;1.42173e+08;1.42173e+08
-12.8303;1.42173e+08;1.42173e+08
-12.8951;1.42173e+08;1.42173e+08
-12.1688;1.42173e+08;1.42173e+08
-14.0926;1.42173e+08;1.42173e+08
-13.8108;1.42173e+08;1.42173e+08
-9.92379;1.42173e+08;1.42173e+08
-9.2284;1.42173e+08;1.42173e+08
-11.4522;1.42173e+08;1.42173e+08
-9.50263;1.42173e+08;1.42173e+08
-10.7408;1.42173e+08;1.42173e+08
-8.99645;1.42173e+08;1.42173e+08
-10.3431;1.42173e+08;1.42173e+08
-8.53074;1.42173e+08;1.42173e+08
-8.93861;1.42173e+08;1.42173e+08
-8.29773;1.42173e+08;1.42173e+08
-7.78116;1.42173e+08;1.42173e+08
-7.60806;1.42173e+08;1.42173e+08
-8.06899;1.42173e+08;1.42173e+08
-7.78083;1.42173e+08;1.42173e+08
-8.49952;1.42173e+08;1.42173e+08
-8.03014;1.42173e+08;1.42173e+08
-7.66055;1.42173e+08;1.42173e+08
-6.98757;1.42173e+08;1.42173e+08
-8.02451;1.42173e+08;1.42173e+08
-7.13513;1.42173e+08;1.42173e+08
-7.20041;1.42173e+08;1.42173e+08
-9.37265;1.42173e+08;1.42173e+08
-6.87979;1.42173e+08;1.42173e+08
-7.34531;1.42173e+08;1.42173e+08
-7.30053;1.42173e+08;1.42173e+08
-7.63619;1.42173e+08;1.42173e+08
-7.23942;1.42173e+08;1.42173e+08
-7.75433;1.42173e+08;1.42173e+08
-7.167;1.42173e+08;1.42173e+08
-7.09854;1.42173e+08;1.42173e+08
-8.3173;1.42173e+08;1.42173e+08
-7.78059;1.42173e+08;1.42173e+08
-7.36363;1.42173e+08;1.42173e+08
-6.5376;1.42173e+08;1.42173e+08
-7.22065;1.42173e+08;1.42173e+08
-7.39524;1.42173e+08;1.42173e+08
-6.33472;1.42173e+08;1.42173e+08
-6.89612;1.42173e+08;1.42173e+08
-7.18962;1.42173e+08;1.42173e+08
-7.91725;1.42173e+08;1.42173e+08
-6.53751;1.42173e+08;1.42173e+08
-6.26284;1.42173e+08;1.42173e+08
-7.11468;1.42173e+08;1.42173e+08
-6.60391;1.42173e+08;1.42173e+08
-6.91925;1.42173e+08;1.42173e+08
-7.21016;1.42173e+08;1.42173e+08
-6.75815;1.42173e+08;1.42173e+08
-6.55385;1.42173e+08;1.42173e+08
-6.99749;1.42173e+08;1.42173e+08
-7.78162;1.42173e+08;1.42173e+08
-7.11367;1.42173e+08;1.42173e+08
-6.47822;1.42173e+08;1.42173e+08
-7.32195;1.42173e+08;1.42173e+08
-6.80264;1.42173e+08;1.42173e+08
-6.3005;1.42173e+08;1.42173e+08
-7.18964;1.42173e+08;1.42173e+08
-6.62751;1.42173e+08;1.42173e+08
-6.54666;1.42173e+08;1.42173e+08
-6.75772;1.42173e+08;1.42173e+08
-6.48994;1.42173e+08;1.42173e+08
-6.28417;1.42173e+08;1.42173e+08
-7.18397;1.42173e+08;1.42173e+08
-6.20873;1.42173e+08;1.42173e+08
-6.78526;1.42173e+08;1.42173e+08
-7.22893;1.42173e+08;1.42173e+08
-7.13096;1.42173e+08;1.42173e+08
-7.33285;1.42173e+08;1.42173e+08
-6.77697;1.42173e+08;1.42173e+08
-8.00825;1.42173e+08;1.42173e+08
-6.83027;1.42173e+08;1.42173e+08
-7.19995;1.42173e+08;1.42173e+08
-7.14942;1.42173e+08;1.42173e+08
-7.1774;1.42173e+08;1.42173e+08
-6.36782;1.42173e+08;1.42173e+08
-6.84363;1.42173e+08;1.42173e+08
-6.22624;1.42173e+08;1.42173e+08
-6.65379;1.42173e+08;1.42173e+08
-6.42138;1.42173e+08;1.42173e+08
-7.35466;1.42173e+08;1.42173e+08
-6.33992;1.42173e+08;1.42173e+08
-6.29054;1.42173e+08;1.42173e+08
-6.73776;1.42173e+08;1.42173e+08
-5.73618;1.42173e+08;1.42173e+08
-6.26703;1.42173e+08;1.42173e+08
-5.34557;1.42173e+08;1.42173e+08
-5.14071;1.42173e+08;1.42173e+08
-6.10226;1.42173e+08;1.42173e+08
