Epot;Ekin;Etot
-229.243;101.462;-127.781
-171.971;45.2604;-126.71
-174.028;47.2867;-126.741
-166.316;39.5565;-126.76
-168.154;41.3997;-126.754
-168.386;41.682;-126.704
-168.539;41.8614;-126.677
-166.001;39.7022;-126.299
-169.306;42.6;-126.706
-173.492;46.7487;-126.743
-172.031;45.4469;-126.584
-160.532;33.8955;-126.636
-169.757;43.1078;-126.65
-174.944;48.0001;-126.944
-172.302;45.4509;-126.851
-174.904;48.2458;-126.659
-165.884;39.1083;-126.775
-164.195;37.6857;-126.51
-175.058;48.3158;-126.742
-166.644;40.0383;-126.606
-169.846;43.0811;-126.765
-170.143;43.4282;-126.715
-166.277;39.6275;-126.649
-166.779;39.9913;-126.788
-164.817;38.1577;-126.659
-171.295;44.5333;-126.761
-166.773;40.0225;-126.751
-170.055;43.3959;-126.659
-166.289;39.5439;-126.745
-172.308;45.6144;-126.694
-165.314;38.5273;-126.787
-166.555;39.8407;-126.714
-162.855;36.1325;-126.723
-161.165;34.6024;-126.562
-163.703;37.0839;-126.619
-171.842;45.1137;-126.728
-164.018;37.3254;-126.693
-167.224;40.5008;-126.723
-164.228;37.5157;-126.712
-168.452;41.6088;-126.843
-166.424;39.5929;-126.831
-169.361;42.5688;-126.792
-169.85;43.1294;-126.721
-171.935;45.1303;-126.805
-172.16;45.3802;-126.78
-166.966;40.2738;-126.692
-165.175;38.544;-126.631
-162.337;35.7013;-126.636
-164.549;37.833;-126.716
-176.004;49.2973;-126.706
-168.517;41.7786;-126.739
-166.344;39.6322;-126.712
-171.781;45.0389;-126.742
-166.162;39.5449;-126.617
-165.474;38.7136;-126.76
-169.069;42.4535;-126.616
-168.677;41.941;-126.736
-171.452;44.6373;-126.815
-163.65;36.9869;-126.663
-168.578;41.9708;-126.607
-168.558;41.8635;-126.695
-172.752;45.9169;-126.835
-166.098;39.2838;-126.814
-166.547;39.8583;-126.689
-166.838;40.0762;-126.761
-165.312;38.6621;-126.65
-167.183;40.5432;-126.64
-169.869;43.1985;-126.671
-166.589;39.8665;-126.723
-166.967;40.309;-126.658
-163.657;37.0592;-126.598
-174.539;47.6954;-126.844
-162.676;36.1133;-126.563
-163.045;36.3016;-126.743
-160.008;33.4068;-126.601
-163.631;37.1236;-126.507
-168.205;41.5333;-126.671
-168.725;42.1149;-126.61
-166.671;39.9393;-126.731
-164.184;37.5484;-126.635
-169.379;42.7816;-126.598
-170.024;43.1783;-126.845
-165.218;38.4344;-126.783
-170.581;43.8585;-126.723
-170.601;43.9777;-126.623
-167.149;40.4709;-126.678
-163.019;36.5177;-126.502
-167.407;40.7146;-126.692
-158.826;32.3289;-126.497
-163.295;36.7447;-126.55
-164.317;37.6876;-126.63
-171.705;45.0378;-126.667
-166.251;39.5853;-126.666
-164.58;38.0086;-126.572
-159.679;33.1327;-126.547
-166.708;39.9342;-126.774
-167.685;41.1179;-126.567
-166.314;39.6994;-126.615
-170.385;43.6756;-126.709
-168.943;42.1853;-126.758
