Epot;Ekin;Etot
-235.919;0.00441512;-235.915
-249.274;13.3588;-235.916
-247.087;11.1718;-235.916
-249.248;13.3321;-235.915
-247.722;11.8065;-235.915
-247.726;11.8106;-235.915
-248.889;12.9735;-235.915
-248.063;12.1473;-235.915
-249.021;13.1052;-235.915
-248.733;12.8171;-235.915
-252.499;16.5838;-235.915
-253.334;17.4183;-235.916
-250.752;14.8367;-235.915
-252.127;16.2114;-235.915
-250.807;14.892;-235.915
-250.51;14.5947;-235.915
-250.89;14.9748;-235.916
-251.871;15.9559;-235.916
-252.158;16.2429;-235.916
-250.963;15.0477;-235.915
-250.998;15.0829;-235.915
-250.185;14.2692;-235.915
-251.028;15.1128;-235.915
-250.875;14.96;-235.915
-251.546;15.6307;-235.916
-250.137;14.2218;-235.915
-252.891;16.9753;-235.916
-253.908;17.9928;-235.915
-252.761;16.8455;-235.916
-251.397;15.4814;-235.915
-252.304;16.3885;-235.915
-252.937;17.0209;-235.916
-253.607;17.6916;-235.916
-249.994;14.0781;-235.915
-254.635;18.7188;-235.916
-251.435;15.5199;-235.916
-251.495;15.5799;-235.915
-253.159;17.2439;-235.916
-250.787;14.8716;-235.915
-249.618;13.7023;-235.915
-251.12;15.2048;-235.915
-252.288;16.3721;-235.915
-253.128;17.2127;-235.916
-253.012;17.0969;-235.916
-251.435;15.5196;-235.916
-249.157;13.2411;-235.915
-253.868;17.952;-235.916
-251.803;15.8874;-235.916
-250.545;14.629;-235.916
-251.217;15.3013;-235.915
-251.553;15.6378;-235.915
-250.832;14.9166;-235.915
-252.243;16.3276;-235.916
-251.783;15.8674;-235.916
-250.411;14.4953;-235.916
-249.436;13.5208;-235.915
-251.297;15.3815;-235.915
-250.288;14.3727;-235.915
-251.204;15.2884;-235.915
-251.707;15.7918;-235.916
-251.345;15.4296;-235.915
-250.901;14.9858;-235.915
-250.163;14.2471;-235.915
-250.781;14.8652;-235.915
-251.601;15.6853;-235.915
-253.761;17.8449;-235.916
-249.856;13.9407;-235.915
-252.557;16.6414;-235.916
-250.451;14.536;-235.915
-250.509;14.594;-235.915
-251.169;15.2541;-235.915
-251.857;15.9419;-235.915
-251.411;15.4952;-235.916
-253.614;17.699;-235.915
-251.011;15.0959;-235.915
-249.261;13.3459;-235.915
-250.005;14.0897;-235.916
-252.227;16.3118;-235.916
-250.886;14.9711;-235.915
-251.603;15.688;-235.915
-253.368;17.4526;-235.916
-253.448;17.5323;-235.916
-251.35;15.435;-235.915
-251.937;16.0213;-235.915
-250.957;15.0416;-235.916
-250.967;15.0516;-235.915
-252.804;16.8881;-235.916
-253.192;17.2769;-235.916
-252.202;16.2864;-235.916
-250.832;14.9169;-235.915
-253.129;17.2132;-235.915
-253.788;17.8717;-235.916
-251.927;16.0113;-235.916
-253.227;17.3112;-235.916
-251.321;15.405;-235.915
-250.928;15.0127;-235.916
-250.969;15.0539;-235.915
-249.815;13.8994;-235.915
-250.534;14.618;-235.916
-251.634;15.7187;-235.916
