Epot;Ekin;Etot
-235.913;108.21;-127.702
-173.097;45.3944;-127.702
-172.628;44.9257;-127.702
-165.968;38.2658;-127.702
-172.507;44.8042;-127.702
-168.22;40.5179;-127.702
-173.15;45.4473;-127.702
-165.849;38.1467;-127.702
-171.158;43.4558;-127.702
-174.946;47.2438;-127.702
-169.34;41.6375;-127.702
-168.003;40.301;-127.702
-168.136;40.4338;-127.702
-172.526;44.8237;-127.702
-168.587;40.884;-127.702
-169.075;41.3727;-127.702
-162.522;34.8192;-127.702
-162.848;35.1458;-127.702
-168.066;40.3633;-127.702
-170.601;42.8984;-127.702
-167.901;40.1981;-127.702
-170.427;42.7245;-127.702
-169.141;41.4387;-127.702
-172.744;45.0414;-127.702
-174.168;46.4658;-127.702
-165.203;37.5004;-127.702
-166.23;38.5277;-127.702
-170.452;42.7496;-127.702
-163.265;35.5622;-127.702
-174.807;47.1044;-127.702
-168.005;40.3029;-127.702
-163.116;35.4137;-127.702
-170.286;42.5836;-127.702
-168.039;40.3366;-127.702
-168.889;41.1867;-127.702
-169.295;41.5926;-127.702
-175.747;48.0449;-127.702
-167.876;40.1737;-127.702
-168.954;41.2513;-127.702
-175.409;47.707;-127.702
-166.796;39.0936;-127.702
-170.791;43.0883;-127.702
-166.939;39.237;-127.702
-167.051;39.349;-127.702
-168.809;41.1068;-127.702
-166.355;38.6522;-127.702
-163.436;35.7339;-127.702
-164.499;36.7961;-127.702
-164.215;36.5123;-127.702
-163.249;35.5467;-127.702
-166.279;38.577;-127.702
-165.153;37.4502;-127.702
-166.782;39.0797;-127.702
-167.628;39.9256;-127.702
-164.126;36.4236;-127.702
-166.343;38.6408;-127.702
-169.986;42.284;-127.702
-170.779;43.0761;-127.702
-173.661;45.9581;-127.702
-166.452;38.7493;-127.702
-165.299;37.5969;-127.702
-162.488;34.7851;-127.702
-165.783;38.0805;-127.702
-175.351;47.6485;-127.702
-165.243;37.5406;-127.702
-167.66;39.958;-127.702
-165.641;37.939;-127.702
-164.806;37.103;-127.702
-161.633;33.931;-127.702
-156.515;28.8122;-127.702
-170.489;42.7869;-127.702
-163.38;35.6771;-127.702
-164.47;36.7675;-127.702
-168.152;40.4497;-127.702
-165.851;38.1484;-127.702
-166.142;38.4398;-127.702
-166.633;38.9303;-127.702
-159.099;31.3966;-127.702
-159.246;31.5433;-127.702
-163.204;35.5012;-127.702
-166.825;39.123;-127.702
-162.44;34.7376;-127.702
-164.308;36.6056;-127.702
-163.067;35.3646;-127.702
-169.97;42.2674;-127.702
-166.217;38.5145;-127.702
-165.214;37.5112;-127.702
-161.995;34.2921;-127.702
-170.445;42.743;-127.702
-167.421;39.7185;-127.702
-160.426;32.7235;-127.702
-168.489;40.787;-127.702
-164.169;36.4666;-127.702
-167.663;39.9604;-127.702
-160.396;32.6934;-127.702
-165.437;37.7341;-127.702
-164.592;36.8893;-127.702
-164.185;36.4827;-127.702
-162.408;34.706;-127.702
-169.608;41.9059;-127.702
