Epot;Ekin;Etot
-235.815;108.112;-127.703
-173.12;45.4267;-127.693
-172.821;45.126;-127.695
-167.127;39.4325;-127.694
-169.537;41.8447;-127.693
-176.112;48.4187;-127.694
-172.951;45.2582;-127.693
-166.322;38.6293;-127.693
-173.44;45.7462;-127.693
-173.731;46.036;-127.695
-174.371;46.6766;-127.694
-172.133;44.4386;-127.694
-175.396;47.7015;-127.695
-170.084;42.3901;-127.694
-164.658;36.9652;-127.693
-167.78;40.0859;-127.694
-178.302;50.6068;-127.695
-166.526;38.8341;-127.691
-164.95;37.2564;-127.693
-164.374;36.68;-127.694
-172.469;44.7768;-127.692
-171.02;43.3285;-127.692
-166.984;39.2923;-127.692
-169.902;42.2084;-127.694
-170.686;42.9921;-127.694
-169.826;42.1331;-127.693
-166.559;38.8662;-127.693
-177.264;49.5684;-127.695
-173.011;45.3184;-127.693
-169.656;41.9635;-127.693
-172.748;45.0536;-127.694
-177.759;50.066;-127.693
-169.271;41.5774;-127.693
-169.365;41.6716;-127.693
-166.65;38.957;-127.693
-172.878;45.1832;-127.695
-170.345;42.6535;-127.692
-166.693;38.9995;-127.694
-167.3;39.6084;-127.692
-166.352;38.6571;-127.694
-167.708;40.0138;-127.694
-172.243;44.5498;-127.693
-166.498;38.8038;-127.694
-168.218;40.5233;-127.695
-170.281;42.5868;-127.695
-172.537;44.8439;-127.693
-166.3;38.6083;-127.692
-169.645;41.9503;-127.695
-168.258;40.5645;-127.693
-169.194;41.5008;-127.694
-170.628;42.9343;-127.694
-172.067;44.3734;-127.694
-170.022;42.3295;-127.693
-172.66;44.9661;-127.694
-175.037;47.3418;-127.695
-177.101;49.4081;-127.693
-172.476;44.782;-127.694
-165.345;37.6528;-127.692
-172.399;44.7069;-127.692
-180.014;52.3189;-127.695
-167.305;39.6093;-127.695
-167.937;40.2435;-127.693
-173.895;46.2004;-127.694
-164.358;36.665;-127.693
-176.074;48.3792;-127.694
-172.865;45.1716;-127.694
-174.095;46.4011;-127.694
-166.024;38.3313;-127.692
-162.699;35.0081;-127.691
-173.411;45.7169;-127.695
-172.711;45.0165;-127.694
-167.61;39.9169;-127.693
-166.288;38.595;-127.693
-167.489;39.7944;-127.694
-166.582;38.8889;-127.693
-170.195;42.5007;-127.694
-173.311;45.6176;-127.694
-170.737;43.0438;-127.693
-166.317;38.6255;-127.691
-166.309;38.6154;-127.693
-169.587;41.8946;-127.693
-168.506;40.8135;-127.692
-170.129;42.4362;-127.693
-157.21;29.5184;-127.691
-173.552;45.8573;-127.695
-170.019;42.327;-127.692
-163.681;35.988;-127.693
-172.509;44.8149;-127.694
-168.918;41.2255;-127.692
-173.812;46.1185;-127.694
-173.502;45.8072;-127.694
-166.072;38.3773;-127.695
-164.866;37.1727;-127.693
-163.474;35.7807;-127.694
-165.352;37.6597;-127.692
-165.364;37.6709;-127.693
-171.426;43.7315;-127.695
-167.31;39.6165;-127.694
-169.17;41.4763;-127.693
-164.837;37.1436;-127.693
