Epot;Ekin;Etot
-235.879;108.177;-127.702
-173.111;45.4104;-127.7
-172.698;44.9979;-127.701
-165.918;38.2177;-127.7
-168.867;41.1668;-127.7
-165.539;37.8387;-127.7
-169.27;41.5696;-127.7
-169.921;42.2213;-127.7
-165.026;37.3256;-127.7
-167.834;40.1342;-127.7
-163.798;36.0985;-127.7
-166.505;38.8053;-127.7
-167.873;40.1735;-127.7
-171.725;44.0251;-127.7
-164.851;37.1507;-127.7
-171.573;43.8729;-127.701
-162.476;34.7757;-127.7
-166.76;39.0599;-127.7
-170.941;43.2411;-127.7
-168.483;40.783;-127.7
-160.977;33.2773;-127.7
-168.127;40.4266;-127.7
-167.566;39.8659;-127.7
-167.494;39.7931;-127.7
-161.881;34.1813;-127.7
-171.441;43.7403;-127.701
-169.056;41.3553;-127.7
-160.481;32.7811;-127.7
-168.041;40.3404;-127.7
-166.285;38.5844;-127.7
-163.744;36.0436;-127.7
-173.706;46.0061;-127.7
-166.874;39.174;-127.7
-168.63;40.9293;-127.7
-168.868;41.1677;-127.7
-162.529;34.829;-127.7
-169.7;41.9998;-127.7
-171.027;43.3267;-127.7
-160.91;33.2095;-127.7
-164.154;36.4541;-127.7
-166.794;39.0938;-127.7
-170.805;43.1051;-127.7
-171.932;44.2316;-127.7
-165.714;38.0143;-127.7
-161.689;33.9885;-127.7
-164.225;36.5253;-127.7
-170.583;42.8828;-127.7
-163.871;36.171;-127.7
-167.471;39.7703;-127.7
-166.553;38.8525;-127.7
-163.3;35.6;-127.7
-170.162;42.4613;-127.7
-170.924;43.2235;-127.7
-170.292;42.5913;-127.7
-167.927;40.2271;-127.7
-172.596;44.8953;-127.701
-164.215;36.5154;-127.7
-173.329;45.6292;-127.7
-168.507;40.8068;-127.7
-168.518;40.8179;-127.7
-166.267;38.5665;-127.7
-162.528;34.8281;-127.7
-171.325;43.6245;-127.701
-173.713;46.0121;-127.701
-168.246;40.5464;-127.7
-163.576;35.8751;-127.7
-170.432;42.7317;-127.7
-166.204;38.5037;-127.7
-170.955;43.2551;-127.7
-165.888;38.1876;-127.7
-166.155;38.4545;-127.7
-160.578;32.8777;-127.7
-166.766;39.066;-127.7
-165.477;37.7775;-127.7
-168.701;41.0008;-127.7
-167.429;39.7293;-127.7
-171.664;43.9642;-127.7
-169.936;42.236;-127.7
-165.433;37.7326;-127.7
-165.884;38.1839;-127.7
-168.621;40.9206;-127.7
-163.492;35.7917;-127.7
-168.389;40.6882;-127.7
-161.446;33.7459;-127.7
-166.264;38.5641;-127.7
-167.578;39.8777;-127.7
-168.447;40.7469;-127.7
-167.648;39.9477;-127.7
-167.459;39.7589;-127.7
-161.962;34.2625;-127.7
-162.495;34.795;-127.7
-169.502;41.801;-127.701
-165.141;37.4407;-127.7
-164.877;37.1762;-127.7
-166.564;38.8636;-127.7
-163.039;35.3387;-127.7
-166.244;38.5433;-127.7
-160.667;32.9667;-127.7
-164.741;37.0413;-127.7
-167.994;40.2936;-127.7
