Etot;T
-10095.4;599.938
-10089.5;607.953
-10083.5;616.411
-10077.8;620.553
-10071.9;629.659
-10066.1;636.129
-10060.1;644.304
-10053.9;647.581
-10047.6;656.954
-10041.9;658.365
-10035.7;665.801
-10029.7;670.35
-10023.9;678.219
-10018;683.512
-10012.3;692.288
-10006.1;697.476
-10000.8;700.114
-9994.73;707.928
-9988.9;712.325
-9983.04;713.278
-9977.22;722.333
-9971;733.003
-9965.32;729.914
-9959.35;739.408
-9953.35;744.527
-9947.19;751.247
-9941.79;758.713
-9935.59;761.507
-9929.89;767.943
-9923.76;776.412
-9918.02;777.844
-9911.97;776.017
-9905.93;783.108
-9900.12;786.625
-9894.07;787.079
-9887.99;792.852
-9881.88;798.672
-9876.12;800.227
-9870.13;807.429
-9864.65;812.158
-9858.81;808.256
-9852.91;802.704
-9847.14;805.262
-9840.63;803.927
-9834.71;814.532
-9828.84;809.194
-9822.99;807.386
-9817.32;799.722
-9811.38;810.689
-9805.65;805.259
-9799.79;804.312
-9793.96;809.166
-9788.28;814.134
-9782.14;810.692
-9776.28;812.309
-9770.33;815.993
-9764.94;821.401
-9759.1;817.935
-9753.4;805.6
-9747.48;816.619
-9741.48;806.748
-9735.64;802.756
-9729.44;793.928
-9723.81;795.33
-9718.41;807.914
-9712.35;805.913
-9706.68;816.805
-9700.96;819.937
-9695.65;824.708
-9689.9;830.554
-9683.98;835.14
-9678.35;838.562
-9672.71;838.867
-9666.5;847.283
-9660.63;852.864
-9654.64;860.043
-9649.09;854.846
-9643.33;870.64
-9637.71;878.247
-9631.76;881.711
-9626.04;891.782
-9619.99;885.652
-9613.95;895.292
-9608.23;904.684
-9602.33;911.847
-9596.85;914.884
-9590.74;924.163
-9584.63;926.945
-9578.27;931.985
-9572.22;942.616
-9566.17;937.847
-9560.68;953.395
-9554.92;958.947
-9548.97;961.504
-9542.98;961.519
-9537.58;973.574
-9531.38;970.478
-9525.41;986.19
-9519.43;992.192
-9513.45;991.922
-9507.21;998.615
-9501.64;1009.34
-9496.07;1016.68
-9490.29;1016.49
-9484.4;1018.87
-9478.07;1027.62
