Etot;T
-519.793;62.9779
-519.452;70.8295
-519.151;78.5378
-518.831;86.2754
-518.507;94.9894
-518.218;102.434
-517.915;109.423
-517.616;118.039
-517.321;124.93
-517.037;132.32
-516.748;139.299
-516.453;147.154
-516.128;155.324
-515.791;164.372
-515.494;171.618
-515.223;178.667
-514.928;185.695
-514.644;192.549
-514.331;200.216
-514.02;209.344
-513.726;216.433
-513.451;222.408
-513.166;230.532
-512.868;236.546
-512.597;243.978
-512.303;249.927
-512.045;258.111
-511.736;265.094
-511.425;271.657
-511.188;277.631
-510.887;286.902
-510.652;291.842
-510.341;299.117
-510.001;306.751
-509.716;316.033
-509.495;321.194
-509.224;326.633
-508.94;331.93
-508.671;340.035
-508.347;344.612
-508.042;354.887
-507.795;361.44
-507.523;369.535
-507.23;373.315
-506.961;376.096
-506.631;381.981
-506.351;382.008
-506.051;392.516
-505.791;409.413
-505.513;424.471
-505.228;427.432
-504.877;436.594
-504.623;445.901
-504.343;450.634
-503.993;455.997
-503.724;464.322
-503.497;467.648
-503.173;474.753
-502.896;484.511
-502.577;497.375
-502.241;499.752
-501.912;505.151
-501.586;508.997
-501.245;521.58
-500.918;526.627
-500.641;527.28
-500.327;544.369
-500.03;518.856
-499.741;532.775
-499.405;527.712
-499.02;544.218
-498.71;555.899
-498.348;554.893
-498.009;564.664
-497.696;558.152
-497.341;568.197
-497.034;541.744
-496.763;585.193
-496.466;574.112
-496.195;581.524
-495.887;582.118
-495.577;593.111
-495.344;611.541
-495.038;589.459
-494.652;606.193
-494.38;604.052
-494.079;575.838
-493.797;569.369
-493.498;576.399
-493.089;573.322
-492.792;609.955
-492.514;607.015
-492.227;610.283
-491.902;621.487
-491.578;617.395
-491.236;626.66
-490.973;629.748
-490.622;629.288
-490.336;666.812
-490.034;664.629
-489.632;618.197
-489.387;658.73
-489.117;661.224
-488.859;675.977
-488.54;680.859
-488.203;702.243
