Etot;T
-13650;601.4
-13642.1;607.932
-13633.9;613.981
-13626.3;620.258
-13618.1;625.36
-13610.3;632.645
-13601.9;640.385
-13593.9;646.169
-13585.8;652.513
-13578;657.753
-13569.9;664.022
-13562;669.56
-13553.8;676.385
-13546;682.628
-13537.9;688.133
-13530.2;697.3
-13521.8;703.196
-13514.1;707.423
-13505.6;715.74
-13497.4;721.774
-13489.4;727.467
-13481.9;732.446
-13473.7;738.317
-13465.2;745.427
-13457.3;748.957
-13449.1;756.123
-13441.1;759.061
-13433;760.61
-13425.2;762.543
-13417;768.501
-13409;775.508
-13401.4;783.266
-13393.1;778.319
-13384.9;787.187
-13376.8;790.181
-13369.1;791.672
-13361;794.504
-13353;794.911
-13345.1;799.823
-13337.1;799.756
-13329.1;800.853
-13321.3;811.033
-13313.6;805.117
-13306;808.76
-13298.2;807.549
-13290.3;812.102
-13282.9;812.817
-13274.7;816.869
-13266.7;813.492
-13258.9;810.755
-13251.1;816.949
-13243.1;819.557
-13234.8;818.9
-13226.8;816.491
-13218.8;823.315
-13210.6;824.324
-13203;823.862
-13195.3;823.761
-13187;824.176
-13179.2;817.432
-13171.3;823.862
-13163.7;813.025
-13155.5;816.279
-13147;814.971
-13139.2;809.208
-13131.1;808.151
-13123.1;810.513
-13114.9;813.53
-13107.3;821.403
-13099.2;824.571
-13091.2;833.927
-13082.9;837.285
-13075.4;845.7
-13067.1;848.255
-13059.3;854.81
-13050.7;857.744
-13042.9;865.836
-13034.7;875.165
-13026.6;879.734
-13018.8;883.477
-13010.9;887.475
-13003;887.645
-12995.1;900.147
-12987.2;903.435
-12979.6;911.317
-12971.7;914.824
-12963.8;919.423
-12956.3;931.395
-12948.1;937.823
-12940.1;937.517
-12932.2;940.499
-12924.3;942.215
-12916.3;953.218
-12908.7;958.169
-12901.4;963.09
-12893.3;969.505
-12885.5;971.43
-12877.7;983.817
-12869.1;989.214
-12861.2;994.448
-12853.1;998.336
-12845.1;999.526
-12837.4;1009.35
-12829.1;1018.2
-12821.4;1020.11
-12813.3;1031.05
