Etot;T
-189.771;60.2018
-189.642;68.7471
-189.526;76.4676
-189.429;83.2922
-189.31;91.4386
-189.212;97.6742
-189.099;105.424
-188.986;113.363
-188.871;121.111
-188.768;127.329
-188.665;134.641
-188.546;143.218
-188.434;150.496
-188.321;158.732
-188.189;166.757
-188.068;174.855
-187.945;184.039
-187.809;193.543
-187.712;198.87
-187.621;202.884
-187.503;211.347
-187.398;220.104
-187.325;224.631
-187.215;232.84
-187.104;237.798
-186.97;249.704
-186.854;255.732
-186.736;264.85
-186.615;268.785
-186.5;279.203
-186.372;288.699
-186.244;297.412
-186.14;301.811
-186.045;309.05
-185.945;316.537
-185.845;322.646
-185.717;322.666
-185.591;330.624
-185.479;341.098
-185.352;347.982
-185.26;360.366
-185.145;358.291
-185.045;368.608
-184.913;385.205
-184.776;389.338
-184.633;380.455
-184.543;407.144
-184.438;408.054
-184.328;430.024
-184.209;423.803
-184.111;436.51
-183.962;439.409
-183.867;455.339
-183.751;445.369
-183.633;467.759
-183.507;448.025
-183.42;480.121
-183.287;492.691
-183.122;466.793
-182.991;489.944
-182.892;478.164
-182.828;470.545
-182.681;487.169
-182.551;492.395
-182.417;491.709
-182.294;504.613
-182.183;530.203
-182.081;550.563
-181.919;546.241
-181.788;524.585
-181.667;540.498
-181.571;546.358
-181.467;563.649
-181.392;546.681
-181.305;558.319
-181.19;556.814
-181.085;574.587
-180.958;559.665
-180.838;576.269
-180.673;539.756
-180.589;605.387
-180.503;609.045
-180.371;591.169
-180.238;606.874
-180.159;602.455
-180.049;600.447
-179.93;630.765
-179.779;655.115
-179.669;642.987
-179.594;665.002
-179.484;684.012
-179.362;660.449
-179.239;654.561
-179.114;650.32
-179.022;684.952
-178.971;718.918
-178.854;719.741
-178.751;680.206
-178.685;693.59
-178.568;738.667
-178.444;712.803
-178.388;733.999
-178.259;727.696
-178.184;740.655
-178.048;726.777
-177.896;743.026
