Etot;T
-36098.6;600.755
-36077.9;607.494
-36057;614.515
-36036.6;621.004
-36015.4;627.515
-35994.9;634.157
-35973.3;641.111
-35952.5;648.113
-35932.2;654.421
-35911.4;661.555
-35890.3;667.859
-35868.8;674.073
-35847.5;679.897
-35825.9;686.506
-35804.4;693.24
-35783.7;699.552
-35762.9;705.793
-35741.3;710.924
-35720.4;718.237
-35698.8;723.662
-35677.9;728.855
-35657;736.037
-35636.6;743.126
-35614.9;747.246
-35594.4;751.651
-35573.5;760.271
-35552.3;763.361
-35531.5;766.315
-35510.8;773.423
-35490.3;778.796
-35468.8;784.821
-35448;787.021
-35426.9;796.128
-35406.4;798.7
-35385.2;804.578
-35364.5;810.84
-35343.7;810.984
-35323.3;815.996
-35302.4;821.649
-35280.9;825.473
-35259.9;826.29
-35239;829.403
-35217.6;829.762
-35196.9;831.982
-35175.9;835.591
-35155.7;838.307
-35135;838.297
-35114.1;839.195
-35093.1;839.316
-35072.7;841.446
-35051.6;842.638
-35030.7;844.624
-35009.8;847.475
-34988.7;849.81
-34967.3;845.846
-34946.5;849.869
-34924.9;850.034
-34903.9;856.354
-34882.6;852.602
-34861.3;850.719
-34839.7;848.536
-34818.1;851.42
-34797.9;849.634
-34776.9;850.638
-34756.5;853.46
-34735.9;850.373
-34715.4;850.453
-34694.8;843.811
-34674.7;851.116
-34654.1;851.152
-34634;848.615
-34613.4;849.54
-34592.2;851.935
-34571.3;851.188
-34550.1;851.975
-34528.9;858.432
-34508.3;856.298
-34487.7;860.588
-34466.5;861.797
-34445.7;869.349
-34424.8;877.058
-34404.5;882.33
-34383.9;886.921
-34362.1;889.824
-34341.3;897.477
-34320.8;901.102
-34299.2;910.471
-34277.9;918.384
-34257.3;925.737
-34236.2;925.222
-34215.6;932.326
-34194.9;935.275
-34173.8;945.926
-34153.3;950.612
-34132.9;953.618
-34112.3;961.484
-34091;969.173
-34070.1;969.438
-34048.7;980.65
-34027.6;986.076
-34006.4;989.131
-33985.6;995.565
-33965.1;1004.43
-33943.6;1004.99
-33922.6;1009.15
-33901.5;1018.58
