Etot;T
-4940.76;611.359
-4937.68;618.11
-4935;620.93
-4932.11;628.072
-4929.05;633.511
-4926.18;641.883
-4923.36;652.966
-4920.47;656.913
-4917.45;661.577
-4914.52;665.404
-4911.51;676.953
-4908.53;678.852
-4905.53;679.604
-4902.73;694.029
-4899.85;702.009
-4897.08;699.787
-4894;703.515
-4891.05;709.594
-4887.96;719.115
-4885.13;730.009
-4882.27;731.194
-4879.52;739.222
-4876.71;743.045
-4873.82;745.207
-4870.87;752.626
-4867.93;754.312
-4864.94;767.459
-4861.98;764.024
-4858.87;760.911
-4855.91;760.566
-4853.02;757.337
-4850.11;760.882
-4847.16;765.681
-4844.14;772.309
-4841.06;765.64
-4838.12;763.804
-4835.11;755.508
-4832.2;758.839
-4829.21;759.353
-4826.24;763.525
-4823.24;769.318
-4820.36;765.967
-4817.38;777.091
-4814.57;782.297
-4811.89;779.184
-4809.1;768.08
-4806.41;762.95
-4803.5;755.217
-4800.9;744.722
-4798.12;751.221
-4795.14;749.283
-4792.33;755.967
-4789.52;765.33
-4786.64;765.786
-4783.87;770.431
-4780.9;781.723
-4778.02;785.407
-4775.31;787.597
-4772.33;789.49
-4769.37;793.21
-4766.15;810.649
-4762.94;812.476
-4759.85;818.261
-4757.14;825.339
-4754.02;829.07
-4751.29;833.314
-4748.69;836.201
-4745.8;836.581
-4742.88;850.34
-4740.02;852.805
-4737.09;862.337
-4734.32;865.302
-4731.38;877.806
-4728.37;871.442
-4725.71;878.333
-4722.82;888.715
-4720.03;892.615
-4716.73;893.8
-4713.79;903.962
-4710.91;904.689
-4708.01;915.993
-4705.03;909.971
-4702.14;938.846
-4698.93;929.923
-4695.96;943.932
-4692.88;947.869
-4690;953.591
-4686.9;943.44
-4683.91;971.156
-4681.2;959.619
-4678.16;972.367
-4675.03;977.498
-4672.14;983.677
-4669.3;989.73
-4666.41;990.395
-4663.79;998.386
-4660.99;1002
-4658.04;1014.01
-4655.14;1018.28
-4652.06;1029.78
-4649.28;1025.64
-4646.59;1028.38
-4643.47;1044.5
-4640.55;1045.33
-4637.64;1050.67
-4634.37;1054.45
