Etot;T
-3213.96;599.172
-3211.93;608.481
-3210.09;612.009
-3208.18;615.827
-3206.3;622.313
-3204.36;628.911
-3202.37;632.703
-3200.55;639.325
-3198.65;645.697
-3196.72;657.174
-3194.83;658.057
-3192.85;666.098
-3190.85;671.762
-3188.91;677.669
-3186.91;680.53
-3184.97;693.982
-3183.2;690.802
-3181.26;700.147
-3179.41;705.685
-3177.6;707.096
-3175.68;706.942
-3173.81;712.157
-3171.95;708.508
-3170.21;714.801
-3168.38;727.466
-3166.41;729.156
-3164.53;714.579
-3162.47;730.115
-3160.58;716.434
-3158.6;715.496
-3156.71;722.045
-3154.79;717.87
-3152.91;715.419
-3150.95;719.382
-3149.1;725.282
-3147.25;726.478
-3145.51;731.495
-3143.61;730.734
-3141.61;739.858
-3139.71;729.628
-3137.75;738.489
-3135.7;734.995
-3133.84;738.026
-3132.02;738.042
-3130.33;733.813
-3128.47;731.425
-3126.49;727.617
-3124.61;730.032
-3122.66;727.989
-3121;734.756
-3119.11;723.053
-3117.26;740.722
-3115.15;750.31
-3113.45;761.675
-3111.46;767.517
-3109.67;765.162
-3108.02;769.482
-3106.41;769.785
-3104.66;785.469
-3102.69;786.555
-3100.54;786.81
-3098.95;800.301
-3097;797.7
-3095.33;814.702
-3093.28;807.99
-3091.27;819.462
-3089.24;831.647
-3087.5;833.29
-3085.61;839.012
-3083.6;839.488
-3081.67;843.417
-3079.61;862.053
-3077.72;857.691
-3075.86;875.326
-3074.02;881.94
-3072.03;872.839
-3070.01;892.861
-3068.05;883.824
-3066.21;886.879
-3064.4;897.374
-3062.67;904.646
-3060.64;906.46
-3059.09;920.585
-3057.15;919.102
-3055.32;932.515
-3053.58;923.19
-3051.74;934.514
-3049.7;951.273
-3047.66;944.941
-3045.69;951.922
-3043.77;954.881
-3041.73;960.75
-3039.69;970.111
-3037.51;988.084
-3035.55;985.289
-3033.47;969.862
-3031.82;995.098
-3029.67;992.335
-3027.62;1010.88
-3025.58;998.923
-3023.83;1022.9
-3021.81;1020.69
-3019.86;1024.3
-3017.96;1024.76
-3016.13;1046.95
-3014.37;1062.14
