Etot;T
-1937.51;603.314
-1936.46;614.518
-1935.35;626.115
-1934.18;624.397
-1932.98;627.901
-1931.76;636.852
-1930.55;638.337
-1929.27;653.511
-1928.04;655.003
-1926.79;664.386
-1925.79;668.405
-1924.52;678.752
-1923.38;677.602
-1922.3;675.372
-1921.15;685.792
-1919.92;692.074
-1918.83;687.65
-1917.69;706.096
-1916.57;703.241
-1915.52;701.101
-1914.47;691.725
-1913.47;694.052
-1912.31;683.92
-1910.94;695.846
-1909.78;706.847
-1908.65;724.563
-1907.46;712.818
-1906.37;721.839
-1905.26;725.339
-1904.14;729.396
-1903.01;707.842
-1901.69;716.93
-1900.66;722.073
-1899.51;737.934
-1898.49;724.248
-1897.39;716.404
-1896.31;700.107
-1895.08;703.516
-1893.85;710.543
-1892.64;714.61
-1891.52;715.168
-1890.36;713.624
-1889.13;723.277
-1888;731.457
-1886.77;730.833
-1885.47;738.6
-1884.14;747.883
-1883;747.223
-1881.79;759.04
-1880.66;769.34
-1879.41;770.129
-1878.32;778.434
-1877.3;778.651
-1876.04;794.105
-1874.99;791.556
-1873.72;805.642
-1872.5;800.871
-1871.4;807.115
-1870.2;827.131
-1869.01;820.583
-1867.82;836.041
-1866.58;836.758
-1865.32;832.626
-1864.1;843.399
-1863.05;850.352
-1861.76;863.909
-1860.73;867.747
-1859.6;870.373
-1858.49;869.458
-1857.27;877.599
-1856.13;881.932
-1854.99;889.18
-1853.82;892.235
-1852.63;904.334
-1851.48;902.78
-1850.24;904.596
-1849.05;922.901
-1847.97;924.947
-1846.95;938.987
-1845.73;934.869
-1844.57;947.308
-1843.51;942.769
-1842.34;940.971
-1841.4;949.838
-1840.4;955.73
-1839.09;962.395
-1837.92;964.908
-1836.71;982.686
-1835.52;984.443
-1834.3;990.03
-1833.18;1007.76
-1832.02;989.461
-1831;1020.93
-1829.78;1012.54
-1828.83;1022.93
-1827.68;1030.25
-1826.59;1027.52
-1825.4;1026.6
-1824.27;1035.53
-1823.09;1041.22
-1822.15;1057.81
-1820.96;1044.47
-1819.82;1058.05
-1818.52;1065.79
-1817.32;1081.2
-1816.07;1073.37
