Etot;T
-1104.36;96.9376
-1103.78;105.001
-1103.12;113.127
-1102.48;120.666
-1101.83;128.135
-1101.21;136.232
-1100.59;143.228
-1099.97;150.644
-1099.31;158.73
-1098.69;166.241
-1098.04;173.573
-1097.42;181.354
-1096.79;189.029
-1096.14;196.948
-1095.49;204.336
-1094.83;212.069
-1094.2;219.386
-1093.54;227.422
-1092.84;235.265
-1092.24;242.549
-1091.64;250.261
-1090.98;257.182
-1090.42;265.032
-1089.82;271.983
-1089.12;279.874
-1088.48;286.469
-1087.8;294.558
-1087.11;303.279
-1086.48;309.551
-1085.86;318.166
-1085.28;325.296
-1084.61;331.947
-1083.89;339.389
-1083.26;346.96
-1082.59;356.036
-1081.99;360.246
-1081.37;369.369
-1080.62;377.151
-1079.97;384.467
-1079.3;392.858
-1078.64;397.809
-1077.92;407.459
-1077.2;413.966
-1076.59;422.731
-1076.01;427.375
-1075.37;438.88
-1074.75;441.023
-1074.12;453.46
-1073.55;455.813
-1072.95;462.802
-1072.29;465.026
-1071.69;471.563
-1071.01;478.279
-1070.37;482.505
-1069.77;486.723
-1069.02;504.183
-1068.31;509.324
-1067.67;514.473
-1066.96;524.639
-1066.38;525.493
-1065.79;534.701
-1065.1;541.717
-1064.44;549.128
-1063.8;551.7
-1063.12;550.508
-1062.47;552.481
-1061.85;554.55
-1061.26;576.648
-1060.62;583.223
-1060.04;590.51
-1059.32;584.742
-1058.77;603.557
-1058.15;608.329
-1057.45;591.008
-1056.88;610.635
-1056.27;621.365
-1055.59;625.038
-1054.9;628.487
-1054.3;638.131
-1053.67;636.094
-1053.04;639.561
-1052.49;639.846
-1051.87;635.189
-1051.22;667.404
-1050.66;656.11
-1049.95;652.249
-1049.25;671.478
-1048.64;653.979
-1047.97;671.424
-1047.26;653.361
-1046.63;678.689
-1046.04;671.593
-1045.37;679.756
-1044.79;690.034
-1044.08;668.783
-1043.38;674.429
-1042.65;658.174
-1042.01;644.028
-1041.44;666.784
-1040.77;665.855
-1040.09;662.373
-1039.54;695.607
-1038.87;669.908
-1038.23;679.924
-1037.52;680.615
-1036.87;673.489
-1036.32;700.938
-1035.69;710.324
-1035.02;703.049
-1034.39;721.273
-1033.75;710.349
-1033.17;731.082
-1032.63;750.75
-1031.99;740.271
-1031.36;750.13
-1030.74;752.658
-1030.17;761.425
-1029.45;760.85
-1028.84;772.904
-1028.06;760.245
-1027.47;751.903
-1026.85;778.797
-1026.26;794.583
-1025.6;791.876
-1024.98;794.928
-1024.4;812.793
-1023.81;798.91
-1023.22;821.372
-1022.58;836.91
-1021.98;823.374
-1021.28;826.578
-1020.65;836.257
-1019.93;844.811
-1019.36;866.368
-1018.77;866.003
-1017.97;846.147
-1017.23;842.639
-1016.63;876.505
-1015.86;866.328
-1015.25;879.134
-1014.53;885.979
-1013.99;901.884
-1013.36;916.433
-1012.68;904.499
-1012.08;919.896
-1011.49;921.79
-1010.89;924.343
-1010.04;924.919
-1009.42;936.756
