strain;force_lg;area
0;-0.795583;1611.3
0.00703565;2.89663;1611.3
0.0140713;4.63929;1611.3
0.0211069;6.15148;1611.3
0.0281426;4.60833;1611.3
0.0351782;5.36653;1611.3
0.0422139;3.03283;1611.3
0.0492495;6.21899;1611.3
0.0562852;7.98272;1611.3
0.0633208;8.44047;1611.3
0.0703565;7.08195;1611.3
0.0773921;3.71511;1611.3
0.0844278;4.04727;1611.3
0.0914634;1.28609;1611.3
0.0984991;2.65794;1611.3
0.105535;2.63225;1611.3
0.11257;2.16405;1611.3
0.119606;1.88187;1611.3
0.126642;1.23565;1611.3
0.133677;2.47517;1611.3
0.140713;1.85395;1611.3
0.147749;3.22601;1611.3
0.154784;3.3205;1611.3
0.16182;2.18852;1611.3
0.168856;2.76425;1611.3
0.175891;2.8947;1611.3
0.182927;2.37094;1611.3
0.189963;3.04709;1611.3
0.196998;2.35101;1611.3
0.204034;4.41389;1611.3
0.211069;4.34137;1611.3
