strain;force_lg;area
0;3.3173;2173.93
0.00582087;4.75844;2173.93
0.0116417;6.98106;2173.93
0.0174626;10.0822;2173.93
0.0232835;12.4918;2173.93
0.0291043;14.8624;2173.93
0.0349252;16.573;2173.93
0.0407461;17.9768;2173.93
0.0465669;19.1481;2173.93
0.0523878;20.0774;2173.93
0.0582087;20.7253;2173.93
0.0640295;21.1874;2173.93
0.0698504;21.4415;2173.93
0.0756713;21.4229;2173.93
0.0814921;20.899;2173.93
0.087313;17.9141;2173.93
0.0931339;11.0277;2173.93
0.0989547;1.95277;2173.93
0.104776;3.41415;2173.93
0.110596;4.19551;2173.93
0.116417;5.28227;2173.93
0.122238;6.36759;2173.93
0.128059;7.05094;2173.93
0.13388;7.05582;2173.93
0.139701;8.16301;2173.93
0.145522;8.83157;2173.93
0.151343;9.98989;2173.93
0.157163;11.5173;2173.93
0.162984;12.1591;2173.93
0.168805;12.0689;2173.93
0.174626;12.1109;2173.93
0.180447;12.5229;2173.93
0.186268;13.274;2173.93
0.192089;13.8847;2173.93
0.197909;13.5575;2173.93
0.20373;12.666;2173.93
0.209551;12.1131;2173.93
