strain;force_lg;area
0;6.9862;6795.62
0.00348171;9.31863;6795.62
0.00696343;14.2842;6795.62
0.0104451;18.9397;6795.62
0.0139269;23.0789;6795.62
0.0174086;27.745;6795.62
0.0208903;31.8366;6795.62
0.024372;35.1156;6795.62
0.0278537;38.5351;6795.62
0.0313354;41.4257;6795.62
0.0348171;44.0858;6795.62
0.0382989;46.4441;6795.62
0.0417806;48.536;6795.62
0.0452623;50.3949;6795.62
0.048744;51.9912;6795.62
0.0522257;53.3525;6795.62
0.0557074;54.4945;6795.62
0.0591891;55.4207;6795.62
0.0626709;56.1448;6795.62
0.0661526;56.6748;6795.62
0.0696343;57.0186;6795.62
0.073116;57.1856;6795.62
0.0765977;57.164;6795.62
0.0800794;56.1753;6795.62
0.0835611;52.2936;6795.62
0.0870429;48.1857;6795.62
0.0905246;34.7565;6795.62
0.0940063;16.7181;6795.62
0.097488;26.2776;6795.62
0.10097;22.575;6795.62
0.104451;25.678;6795.62
0.107933;25.9767;6795.62
0.111415;26.3141;6795.62
0.114897;27.0691;6795.62
0.118378;28.9248;6795.62
0.12186;30.554;6795.62
0.125342;31.3609;6795.62
0.128823;29.6595;6795.62
0.132305;26.4994;6795.62
0.135787;27.8892;6795.62
0.139269;28.0604;6795.62
0.14275;28.6292;6795.62
0.146232;28.0239;6795.62
0.149714;27.1732;6795.62
0.153195;28.5271;6795.62
0.156677;29.2858;6795.62
0.160159;29.1681;6795.62
0.163641;30.0384;6795.62
0.167122;29.3494;6795.62
0.170604;30.2605;6795.62
0.174086;28.797;6795.62
0.177567;28.5371;6795.62
0.181049;28.5824;6795.62
0.184531;29.8289;6795.62
0.188013;29.7992;6795.62
0.191494;28.6989;6795.62
0.194976;30.272;6795.62
0.198458;30.7805;6795.62
0.201939;30.5621;6795.62
0.205421;30.1374;6795.62
0.208903;30.2333;6795.62
0.212385;30.1543;6795.62
0.215866;30.4404;6795.62
