strain;force_lg;area
0;0.131937;1158.19
0.00588429;0.505826;1158.19
0.0117686;0.61389;1158.19
0.0176529;0.762941;1158.19
0.0235372;0.838223;1158.19
0.0294215;0.865729;1158.19
0.0353058;0.919756;1158.19
0.0411901;0.953894;1158.19
0.0470744;0.982057;1158.19
0.0529586;1.00359;1158.19
0.0588429;1.02105;1158.19
0.0647272;1.02995;1158.19
0.0706115;1.04116;1158.19
0.0764958;1.05102;1158.19
0.0823801;1.04754;1158.19
0.0882644;1.05331;1158.19
0.0941487;1.05791;1158.19
0.100033;1.05029;1158.19
0.105917;1.05261;1158.19
0.111802;1.0541;1158.19
0.117686;1.04819;1158.19
0.12357;1.04819;1158.19
0.129454;1.04759;1158.19
0.135339;1.04259;1158.19
0.141223;1.04097;1158.19
0.147107;1.03893;1158.19
0.152992;1.02575;1158.19
0.158876;1.02303;1158.19
0.16476;1.01336;1158.19
0.170645;1.01011;1158.19
0.176529;1.00664;1158.19
0.182413;0.999158;1158.19
0.188297;0.995324;1158.19
0.194182;0.991334;1158.19
0.200066;0.979266;1158.19
0.20595;0.975043;1158.19
0.211835;0.970717;1158.19
