strain;force_lg;area
0;1.21345;1369.42
0.00583189;5.96634;1369.42
0.0116638;6.6112;1369.42
0.0174957;8.44226;1369.42
0.0233275;10.4561;1369.42
0.0291594;11.5603;1369.42
0.0349913;12.6812;1369.42
0.0408232;13.7316;1369.42
0.0466551;14.5186;1369.42
0.052487;15.0787;1369.42
0.0583189;15.4729;1369.42
0.0641507;15.3622;1369.42
0.0699826;13.7774;1369.42
0.0758145;11.9069;1369.42
0.0816464;8.05619;1369.42
0.0874783;6.86919;1369.42
0.0933102;7.22474;1369.42
0.099142;7.43708;1369.42
0.104974;7.26915;1369.42
0.110806;8.34021;1369.42
0.116638;9.58613;1369.42
0.12247;10.385;1369.42
0.128301;11.5424;1369.42
0.134133;11.876;1369.42
0.139965;12.2097;1369.42
0.145797;11.5724;1369.42
0.151629;10.5931;1369.42
0.157461;10.1317;1369.42
0.163293;10.5201;1369.42
0.169125;10.2689;1369.42
0.174957;10.0652;1369.42
0.180788;9.5536;1369.42
0.18662;9.85499;1369.42
0.192452;9.99848;1369.42
0.198284;10.0259;1369.42
0.204116;9.77464;1369.42
0.209948;9.58357;1369.42
