strain;force_lg;area
0;1.05242;1604.59
0.00701409;3.45207;1604.59
0.0140282;4.50982;1604.59
0.0210423;5.76574;1604.59
0.0280564;6.11411;1604.59
0.0350705;6.83965;1604.59
0.0420846;7.34901;1604.59
0.0490987;7.83673;1604.59
0.0561127;8.12626;1604.59
0.0631268;8.34215;1604.59
0.0701409;8.43939;1604.59
0.077155;8.46057;1604.59
0.0841691;8.31059;1604.59
0.0911832;7.08641;1604.59
0.0981973;4.91207;1604.59
0.105211;3.47967;1604.59
0.112225;3.48613;1604.59
0.11924;4.11297;1604.59
0.126254;3.0169;1604.59
0.133268;3.14994;1604.59
0.140282;3.45107;1604.59
0.147296;3.48167;1604.59
0.15431;3.21178;1604.59
0.161324;3.05837;1604.59
0.168338;3.2236;1604.59
0.175352;3.29821;1604.59
0.182366;3.19803;1604.59
0.189381;3.31983;1604.59
0.196395;3.48686;1604.59
0.203409;3.95564;1604.59
0.210423;4.20085;1604.59
