strain;force_lg;area
0;1.20167;1369.42
0.00174957;4.14882;1369.42
0.00349913;3.51473;1369.42
0.0052487;4.16215;1369.42
0.00699826;5.15706;1369.42
0.00874783;5.72037;1369.42
0.0104974;6.29438;1369.42
0.012247;7.02423;1369.42
0.0139965;7.62537;1369.42
0.0157461;8.19471;1369.42
0.0174957;8.76172;1369.42
0.0192452;9.28388;1369.42
0.0209948;9.78719;1369.42
0.0227444;10.2658;1369.42
0.0244939;10.7214;1369.42
0.0262435;11.1366;1369.42
0.027993;11.5433;1369.42
0.0297426;11.9263;1369.42
0.0314922;12.2795;1369.42
0.0332417;12.6;1369.42
0.0349913;12.9522;1369.42
0.0367409;13.2624;1369.42
0.0384904;13.5478;1369.42
0.04024;13.8375;1369.42
0.0419896;14.0838;1369.42
0.0437391;14.2975;1369.42
0.0454887;14.5355;1369.42
0.0472383;14.7438;1369.42
0.0489878;14.9203;1369.42
0.0507374;15.1129;1369.42
0.052487;15.2585;1369.42
0.0542365;15.2783;1369.42
0.0559861;14.9986;1369.42
0.0577357;14.2857;1369.42
0.0594852;13.7306;1369.42
0.0612348;14.3864;1369.42
0.0629844;14.676;1369.42
0.0647339;14.7925;1369.42
0.0664835;14.9424;1369.42
0.0682331;14.9965;1369.42
0.0699826;14.6201;1369.42
0.0717322;13.2202;1369.42
0.0734818;8.5671;1369.42
0.0752313;7.85586;1369.42
0.0769809;8.61276;1369.42
0.0787304;8.60335;1369.42
0.08048;8.9379;1369.42
0.0822296;9.78427;1369.42
0.0839791;10.0999;1369.42
0.0857287;10.4745;1369.42
0.0874783;10.9205;1369.42
0.0892278;11.2459;1369.42
0.0909774;11.5742;1369.42
0.092727;11.8577;1369.42
0.0944765;12.1765;1369.42
0.0962261;12.4056;1369.42
0.0979757;12.5163;1369.42
0.0997252;12.3375;1369.42
0.101475;11.6196;1369.42
0.103224;11.0416;1369.42
0.104974;11.5419;1369.42
0.106723;11.9832;1369.42
0.108473;11.9351;1369.42
0.110223;11.2306;1369.42
0.111972;12.1068;1369.42
0.113722;12.3526;1369.42
0.115471;12.5828;1369.42
0.117221;12.9055;1369.42
0.11897;13.098;1369.42
0.12072;13.38;1369.42
0.12247;13.6194;1369.42
0.124219;13.7761;1369.42
0.125969;13.8478;1369.42
0.127718;13.6998;1369.42
0.129468;13.5274;1369.42
0.131217;13.0651;1369.42
0.132967;13.1034;1369.42
0.134717;13.1701;1369.42
0.136466;13.0535;1369.42
0.138216;12.0708;1369.42
0.139965;10.9134;1369.42
0.141715;10.678;1369.42
0.143464;10.4388;1369.42
0.145214;10.4567;1369.42
0.146964;10.145;1369.42
0.148713;10.02;1369.42
0.150463;10.495;1369.42
0.152212;10.9407;1369.42
0.153962;11.0747;1369.42
0.155711;11.216;1369.42
0.157461;11.1693;1369.42
0.15921;10.9476;1369.42
0.16096;10.9306;1369.42
0.16271;11.1311;1369.42
0.164459;11.1765;1369.42
0.166209;11.3451;1369.42
0.167958;11.7049;1369.42
0.169708;11.8016;1369.42
0.171457;11.901;1369.42
0.173207;11.6374;1369.42
0.174957;11.2418;1369.42
0.176706;10.8297;1369.42
0.178456;10.7118;1369.42
0.180205;10.1387;1369.42
0.181955;10.2938;1369.42
0.183704;10.3413;1369.42
0.185454;10.2361;1369.42
0.187204;9.96154;1369.42
0.188953;10.0521;1369.42
0.190703;9.92735;1369.42
0.192452;9.99501;1369.42
0.194202;10.3221;1369.42
0.195951;10.5567;1369.42
0.197701;10.6997;1369.42
0.19945;11.0532;1369.42
0.2012;11.2701;1369.42
0.20295;11.4469;1369.42
0.204699;11.6283;1369.42
0.206449;11.7064;1369.42
0.208198;11.4505;1369.42
0.209948;10.9371;1369.42
0.211697;10.5222;1369.42
0.213447;10.7743;1369.42
0.215197;10.8411;1369.42
0.216946;10.9161;1369.42
