strain;force_lg;area
0;-0.920704;1609.23
0.00702557;4.07521;1609.23
0.0140511;4.74067;1609.23
0.0210767;6.57133;1609.23
0.0281023;4.9702;1609.23
0.0351279;6.13186;1609.23
0.0421534;4.9279;1609.23
0.049179;6.65409;1609.23
0.0562046;8.09445;1609.23
0.0632301;8.65192;1609.23
0.0702557;7.44138;1609.23
0.0772813;5.49282;1609.23
0.0843068;5.78974;1609.23
0.0913324;4.88316;1609.23
0.098358;3.71807;1609.23
0.105384;2.11073;1609.23
0.112409;2.57959;1609.23
0.119435;3.18425;1609.23
0.12646;3.68212;1609.23
0.133486;3.4706;1609.23
0.140511;3.76909;1609.23
0.147537;1.89361;1609.23
0.154563;3.81695;1609.23
0.161588;3.82338;1609.23
0.168614;3.33515;1609.23
0.175639;2.89171;1609.23
0.182665;2.80992;1609.23
0.18969;3.22026;1609.23
0.196716;2.91261;1609.23
0.203742;3.08893;1609.23
0.210767;3.88717;1609.23
