strain;force_lg;area
0;3.57857;1943.25
0.00582233;5.39659;1943.25
0.0116447;6.9378;1943.25
0.017467;9.65205;1943.25
0.0232893;12.3885;1943.25
0.0291117;14.3511;1943.25
0.034934;15.9579;1943.25
0.0407563;17.3432;1943.25
0.0465787;18.446;1943.25
0.052401;19.3118;1943.25
0.0582233;19.9224;1943.25
0.0640457;20.3356;1943.25
0.069868;20.5654;1943.25
0.0756903;20.5236;1943.25
0.0815127;19.7774;1943.25
0.087335;16.3601;1943.25
0.0931573;10.4901;1943.25
0.0989797;4.29606;1943.25
0.104802;7.00034;1943.25
0.110624;7.52732;1943.25
0.116447;8.25846;1943.25
0.122269;8.35816;1943.25
0.128091;9.12796;1943.25
0.133914;10.1547;1943.25
0.139736;11.6461;1943.25
0.145558;11.347;1943.25
0.151381;12.1455;1943.25
0.157203;13.3276;1943.25
0.163025;14.3027;1943.25
0.168848;14.5545;1943.25
0.17467;13.7369;1943.25
0.180492;12.9517;1943.25
0.186315;13.7119;1943.25
0.192137;14.1053;1943.25
0.197959;13.8887;1943.25
0.203782;12.7047;1943.25
0.209604;11.6234;1943.25
