strain;force_lg;area
0;-0.140925;1606.59
0.00701798;3.93664;1606.59
0.014036;4.89953;1606.59
0.0210539;6.20198;1606.59
0.0280719;5.36052;1606.59
0.0350899;6.06899;1606.59
0.0421079;5.90021;1606.59
0.0491258;7.18655;1606.59
0.0561438;7.34447;1606.59
0.0631618;8.30734;1606.59
0.0701798;7.32928;1606.59
0.0771978;5.51522;1606.59
0.0842157;6.27624;1606.59
0.0912337;5.38247;1606.59
0.0982517;1.74084;1606.59
0.10527;3.38431;1606.59
0.112288;3.32004;1606.59
0.119306;4.07921;1606.59
0.126324;2.61769;1606.59
0.133342;3.55952;1606.59
0.14036;3.89297;1606.59
0.147378;3.38045;1606.59
0.154396;2.7723;1606.59
0.161414;2.67418;1606.59
0.168431;2.62947;1606.59
0.175449;3.13472;1606.59
0.182467;3.3511;1606.59
0.189485;3.60119;1606.59
0.196503;3.513;1606.59
0.203521;2.73009;1606.59
0.210539;2.72901;1606.59
