strain;force_lg;area
0;1.80095;1617.93
0.00582696;6.10692;1617.93
0.0116539;6.87392;1617.93
0.0174809;9.43528;1617.93
0.0233078;11.8786;1617.93
0.0291348;13.4066;1617.93
0.0349618;14.8982;1617.93
0.0407887;16.151;1617.93
0.0466157;17.1293;1617.93
0.0524426;17.9047;1617.93
0.0582696;18.4492;1617.93
0.0640965;18.5843;1617.93
0.0699235;17.9233;1617.93
0.0757505;15.4487;1617.93
0.0815774;13.1977;1617.93
0.0874044;9.5974;1617.93
0.0932313;8.42711;1617.93
0.0990583;8.67034;1617.93
0.104885;8.7897;1617.93
0.110712;9.28705;1617.93
0.116539;9.67473;1617.93
0.122366;10.3729;1617.93
0.128193;10.5355;1617.93
0.13402;10.4803;1617.93
0.139847;10.3518;1617.93
0.145674;11.2617;1617.93
0.151501;11.3979;1617.93
0.157328;11.6624;1617.93
0.163155;10.9306;1617.93
0.168982;10.2131;1617.93
0.174809;10.5467;1617.93
0.180636;11.3472;1617.93
0.186463;12.5961;1617.93
0.19229;12.8478;1617.93
0.198117;13.1506;1617.93
0.203944;13.2749;1617.93
0.209771;12.7429;1617.93
