strain;force_lg;area
0;1.05242;1604.59
0.00210423;2.08457;1604.59
0.00420846;2.28157;1604.59
0.00631268;2.93214;1604.59
0.00841691;3.27495;1604.59
0.0105211;3.55528;1604.59
0.0126254;3.90559;1604.59
0.0147296;4.26327;1604.59
0.0168338;4.60398;1604.59
0.0189381;4.91337;1604.59
0.0210423;5.20955;1604.59
0.0231465;5.48276;1604.59
0.0252507;5.74722;1604.59
0.027355;5.99369;1604.59
0.0294592;6.22876;1604.59
0.0315634;6.44876;1604.59
0.0336676;6.6557;1604.59
0.0357719;6.84918;1604.59
0.0378761;7.03033;1604.59
0.0399803;7.19925;1604.59
0.0420846;7.35641;1604.59
0.0441888;7.50203;1604.59
0.046293;7.63656;1604.59
0.0483972;7.76016;1604.59
0.0505015;7.87356;1604.59
0.0526057;7.97688;1604.59
0.0547099;8.07041;1604.59
0.0568142;8.15434;1604.59
0.0589184;8.22895;1604.59
0.0610226;8.29453;1604.59
0.0631268;8.35133;1604.59
0.0652311;8.39962;1604.59
0.0673353;8.43962;1604.59
0.0694395;8.47158;1604.59
0.0715438;8.4957;1604.59
0.073648;8.51223;1604.59
0.0757522;8.52138;1604.59
0.0778564;8.52338;1604.59
0.0799607;8.51897;1604.59
0.0820649;8.49799;1604.59
0.0841691;6.54394;1604.59
0.0862733;6.29749;1604.59
0.0883776;4.3566;1604.59
0.0904818;4.0454;1604.59
0.092586;4.65697;1604.59
0.0946903;4.46739;1604.59
0.0967945;4.50291;1604.59
0.0988987;3.94627;1604.59
0.101003;3.84009;1604.59
0.103107;4.22856;1604.59
0.105211;4.30068;1604.59
0.107316;4.27067;1604.59
0.10942;4.11396;1604.59
0.111524;4.2256;1604.59
0.113628;4.39836;1604.59
0.115733;4.1453;1604.59
0.117837;4.32458;1604.59
0.119941;4.5048;1604.59
0.122045;4.62639;1604.59
0.124149;4.63417;1604.59
0.126254;4.75916;1604.59
0.128358;5.19682;1604.59
0.130462;5.31712;1604.59
0.132566;5.43343;1604.59
0.134671;5.55645;1604.59
0.136775;5.68127;1604.59
0.138879;5.7383;1604.59
0.140983;5.49679;1604.59
0.143088;5.96229;1604.59
0.145192;5.89486;1604.59
0.147296;5.72906;1604.59
0.1494;5.44121;1604.59
0.151504;5.91844;1604.59
0.153609;5.97851;1604.59
0.155713;6.10338;1604.59
0.157817;6.22227;1604.59
0.159921;6.27844;1604.59
0.162026;6.08717;1604.59
0.16413;5.93037;1604.59
0.166234;5.71841;1604.59
0.168338;5.44601;1604.59
0.170442;4.95794;1604.59
0.172547;4.93401;1604.59
0.174651;4.93166;1604.59
0.176755;4.95814;1604.59
0.178859;5.1991;1604.59
0.180964;5.09543;1604.59
0.183068;5.21629;1604.59
0.185172;5.32969;1604.59
0.187276;5.51229;1604.59
0.189381;5.68794;1604.59
0.191485;5.78374;1604.59
0.193589;5.86661;1604.59
0.195693;5.97413;1604.59
0.197797;6.05704;1604.59
0.199902;6.07392;1604.59
0.202006;6.05927;1604.59
0.20411;5.90223;1604.59
0.206214;5.87443;1604.59
0.208319;5.73113;1604.59
0.210423;5.43953;1604.59
0.212527;5.26073;1604.59
0.214631;4.96778;1604.59
0.216735;4.39879;1604.59
