strain;force_lg;area
0;1.05242;1604.59
0.0105211;4.32708;1604.59
0.0210423;5.8614;1604.59
0.0315634;7.10303;1604.59
0.0420846;7.37037;1604.59
0.0526057;7.93216;1604.59
0.0631268;8.22146;1604.59
0.073648;8.42329;1604.59
0.0841691;8.33773;1604.59
0.0946903;6.12599;1604.59
0.105211;3.17141;1604.59
0.115733;3.44205;1604.59
0.126254;3.74506;1604.59
0.136775;3.65835;1604.59
0.147296;3.76042;1604.59
0.157817;3.68111;1604.59
0.168338;3.48131;1604.59
0.178859;3.65108;1604.59
0.189381;3.61354;1604.59
0.199902;3.3352;1604.59
