strain;force_lg;area
0;0.309348;1527.24
0.00584354;2.37318;1527.24
0.0116871;3.21735;1527.24
0.0175306;3.8483;1527.24
0.0233741;4.48106;1527.24
0.0292177;5.30036;1527.24
0.0350612;5.74313;1527.24
0.0409048;6.10002;1527.24
0.0467483;6.39222;1527.24
0.0525918;6.64562;1527.24
0.0584354;6.83658;1527.24
0.0642789;6.95166;1527.24
0.0701224;7.01872;1527.24
0.075966;7.03574;1527.24
0.0818095;7.0099;1527.24
0.0876531;6.46287;1527.24
0.0934966;5.40192;1527.24
0.0993401;3.64474;1527.24
0.105184;2.74658;1527.24
0.111027;1.44378;1527.24
0.116871;2.36562;1527.24
0.122714;3.00755;1527.24
0.128558;2.99967;1527.24
0.134401;2.9748;1527.24
0.140245;2.77714;1527.24
0.146088;2.59674;1527.24
0.151932;2.83656;1527.24
0.157775;2.8347;1527.24
0.163619;2.89798;1527.24
0.169463;2.86763;1527.24
0.175306;2.87438;1527.24
0.18115;2.67844;1527.24
0.186993;2.80492;1527.24
0.192837;2.73808;1527.24
0.19868;3.32747;1527.24
0.204524;3.41169;1527.24
0.210367;3.50614;1527.24
