strain;force_lg;area
0;4.93556;6948.46
0.00344108;15.4411;6948.46
0.00688216;21.9267;6948.46
0.0103232;14.3964;6948.46
0.0137643;28.6796;6948.46
0.0172054;23.9973;6948.46
0.0206465;15.3815;6948.46
0.0240876;35.622;6948.46
0.0275286;18.8345;6948.46
0.0309697;26.8862;6948.46
0.0344108;28.5295;6948.46
0.0378519;29.6272;6948.46
0.041293;37.7722;6948.46
0.0447341;34.8168;6948.46
0.0481751;23.7408;6948.46
0.0516162;29.1454;6948.46
0.0550573;31.8324;6948.46
0.0584984;35.584;6948.46
0.0619395;35.3525;6948.46
0.0653805;30.0989;6948.46
0.0688216;31.3161;6948.46
0.0722627;30.2424;6948.46
0.0757038;19.6197;6948.46
0.0791449;22.6991;6948.46
0.0825859;12.8562;6948.46
0.086027;14.6102;6948.46
0.0894681;23.8281;6948.46
0.0929092;25.3633;6948.46
0.0963503;25.4422;6948.46
0.0997913;27.0809;6948.46
0.103232;23.5539;6948.46
0.106674;22.7302;6948.46
0.110115;22.4001;6948.46
0.113556;22.9431;6948.46
0.116997;24.6623;6948.46
0.120438;27.7411;6948.46
0.123879;26.6836;6948.46
0.12732;26.0183;6948.46
0.130761;20.5332;6948.46
0.134202;24.4571;6948.46
0.137643;24.5509;6948.46
0.141084;24.7789;6948.46
0.144525;20.6771;6948.46
0.147966;17.5826;6948.46
0.151408;27.7752;6948.46
0.154849;27.0856;6948.46
0.15829;25.1318;6948.46
0.161731;21.4697;6948.46
0.165172;20.2647;6948.46
0.168613;21.9754;6948.46
0.172054;21.3332;6948.46
0.175495;23.1396;6948.46
0.178936;23.6422;6948.46
0.182377;17.2335;6948.46
0.185818;21.028;6948.46
0.189259;14.5583;6948.46
0.192701;13.4236;6948.46
0.196142;17.9751;6948.46
0.199583;16.28;6948.46
0.203024;22.0209;6948.46
0.206465;20.7615;6948.46
0.209906;25.093;6948.46
0.213347;24.4443;6948.46
