strain;force_lg;area
0;-2.50089;1618.53
0.0070435;-0.882596;1618.53
0.014087;4.16768;1618.53
0.0211305;6.18248;1618.53
0.028174;3.61755;1618.53
0.0352175;4.27014;1618.53
0.042261;5.05363;1618.53
0.0493045;6.24424;1618.53
0.056348;6.31293;1618.53
0.0633915;7.04187;1618.53
0.070435;6.51136;1618.53
0.0774785;5.08315;1618.53
0.084522;6.49003;1618.53
0.0915655;3.89023;1618.53
0.098609;0.389581;1618.53
0.105652;2.18094;1618.53
0.112696;4.81279;1618.53
0.119739;2.73104;1618.53
0.126783;3.54802;1618.53
0.133826;2.97866;1618.53
0.14087;4.12112;1618.53
0.147913;4.02476;1618.53
0.154957;2.73768;1618.53
0.162;1.22439;1618.53
0.169044;1.74116;1618.53
0.176087;4.23869;1618.53
0.183131;2.16987;1618.53
0.190174;4.33749;1618.53
0.197218;1.70445;1618.53
0.204261;3.0912;1618.53
0.211305;3.2429;1618.53
