strain;force_lg;area
0;1.05242;1604.59
0.00490987;2.88681;1604.59
0.00981973;3.607;1604.59
0.0147296;4.69949;1604.59
0.0196395;5.07766;1604.59
0.0245493;5.73001;1604.59
0.0294592;6.25691;1604.59
0.0343691;6.81264;1604.59
0.0392789;7.18925;1604.59
0.0441888;7.54458;1604.59
0.0490987;7.81724;1604.59
0.0540085;8.04365;1604.59
0.0589184;8.22064;1604.59
0.0638282;8.35147;1604.59
0.0687381;8.43709;1604.59
0.073648;8.48168;1604.59
0.0785578;8.48774;1604.59
0.0834677;8.41281;1604.59
0.0883776;6.81949;1604.59
0.0932874;5.22669;1604.59
0.0981973;3.94131;1604.59
0.103107;3.16809;1604.59
0.108017;2.88485;1604.59
0.112927;3.78581;1604.59
0.117837;3.81153;1604.59
0.122747;3.79285;1604.59
0.127656;3.89096;1604.59
0.132566;3.87969;1604.59
0.137476;3.76777;1604.59
0.142386;3.85268;1604.59
0.147296;3.83472;1604.59
0.152206;3.83696;1604.59
0.157116;3.90408;1604.59
0.162026;3.90458;1604.59
0.166935;3.97173;1604.59
0.171845;3.95999;1604.59
0.176755;3.50748;1604.59
0.181665;3.00139;1604.59
0.186575;3.37215;1604.59
0.191485;3.44724;1604.59
0.196395;3.52529;1604.59
0.201304;3.9975;1604.59
0.206214;4.35573;1604.59
0.211124;4.50792;1604.59
