strain;force_lg;area
0;0.680548;2118.1
0.00699257;3.35295;2118.1
0.0139851;5.68369;2118.1
0.0209777;8.25013;2118.1
0.0279703;10.694;2118.1
0.0349629;12.2494;2118.1
0.0419554;13.427;2118.1
0.048948;14.4862;2118.1
0.0559406;15.2621;2118.1
0.0629332;15.744;2118.1
0.0699257;15.993;2118.1
0.0769183;16.0781;2118.1
0.0839109;15.918;2118.1
0.0909034;14.5311;2118.1
0.097896;8.17129;2118.1
0.104889;2.50207;2118.1
0.111881;4.69249;2118.1
0.118874;6.98667;2118.1
0.125866;7.17546;2118.1
0.132859;7.28787;2118.1
0.139851;8.48271;2118.1
0.146844;7.86346;2118.1
0.153837;7.36577;2118.1
0.160829;6.51868;2118.1
0.167822;8.01939;2118.1
0.174814;8.39155;2118.1
0.181807;8.61232;2118.1
0.188799;9.49152;2118.1
0.195792;9.61117;2118.1
0.202785;9.40242;2118.1
0.209777;10.0391;2118.1
